Year;Month;Day;Hour;Minute;Temperature daily mean [2 m above gnd];Relative Humidity daily mean [2 m above gnd];Mean Sea Level Pressure daily mean [MSL];Total Precipitation daily sum [sfc];Snowfall amount raw daily sum [sfc];Total Cloud Cover daily mean [sfc];High Cloud Cover daily mean [high cld lay];Medium Cloud Cover daily mean [mid cld lay];Low Cloud Cover daily mean [low cld lay];Sunshine Duration daily sum [sfc];Shortwave Radiation daily sum [sfc];Wind Speed daily mean [10 m above gnd];Wind Direction daily mean [10 m above gnd];Wind Gust daily mean [sfc];Temperature daily max [2 m above gnd];Temperature daily min [2 m above gnd];Relative Humidity daily max [2 m above gnd];Relative Humidity daily min [2 m above gnd];Mean Sea Level Pressure daily max [MSL];Mean Sea Level Pressure daily min [MSL];Total Cloud Cover daily max [sfc];Total Cloud Cover daily min [sfc];High Cloud Cover daily max [high cld lay];High Cloud Cover daily min [high cld lay];Medium Cloud Cover daily max [mid cld lay];Medium Cloud Cover daily min [mid cld lay];Low Cloud Cover daily max [low cld lay];Low Cloud Cover daily min [low cld lay];Wind Speed daily max [10 m above gnd];Wind Speed daily min [10 m above gnd];Wind Gust daily max [sfc];Wind Gust daily min [sfc]
2012;01;04;00;00;7.09;74.92;1022.57;6.60;0.00;68.43;21.71;51.79;51.50;395.36;1642.05;8.01;257.11;15.21;9.77;4.54;86.00;63.00;1027.70;1015.90;100.00;0.00;100.00;0.00;100.00;0.00;100.00;0.00;10.07;5.33;21.30;10.90
2012;01;05;00;00;6.66;73.83;1008.75;6.00;0.00;92.12;46.79;81.33;73.42;39.57;1350.13;11.72;256.57;22.05;9.32;4.95;83.00;63.00;1024.50;998.20;100.00;40.00;100.00;0.00;100.00;0.00;100.00;0.00;14.93;7.70;25.80;16.10
2012;01;06;00;00;3.68;78.08;1017.86;0.80;0.00;92.46;0.96;8.92;91.96;0.00;1537.03;7.33;290.65;12.78;5.79;1.29;85.00;68.00;1028.30;1006.10;100.00;26.00;6.00;0.00;100.00;0.00;100.00;14.00;9.00;5.38;16.80;9.30
2012;01;07;00;00;4.05;80.29;1024.94;3.10;0.00;58.88;1.04;8.42;58.88;0.00;588.29;6.21;253.58;12.73;6.70;0.12;89.00;59.00;1028.60;1021.70;100.00;0.00;16.00;0.00;100.00;0.00;100.00;0.00;9.27;2.95;16.60;6.10
2012;01;08;00;00;5.34;84.71;1024.26;2.30;0.00;72.55;5.79;27.54;72.42;45.02;1156.11;6.95;276.93;12.28;6.51;4.32;90.00;75.00;1027.50;1022.50;100.00;0.00;97.00;0.00;100.00;0.00;100.00;0.00;8.25;5.18;15.10;7.90
2012;01;09;00;00;4.78;84.25;1030.99;0.60;0.00;96.62;0.75;5.21;96.62;0.00;1616.24;4.04;266.08;6.65;6.67;2.99;92.00;74.00;1033.10;1027.20;100.00;21.00;12.00;0.00;62.00;0.00;100.00;21.00;5.14;3.01;9.80;4.30
2012;01;10;00;00;6.51;84.88;1034.52;1.30;0.00;68.21;0.00;0.00;68.21;118.20;1132.08;2.31;208.57;3.64;8.54;4.50;90.00;78.00;1035.80;1032.10;100.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;5.09;0.22;9.90;0.30
2012;01;11;00;00;3.57;90.92;1036.03;0.00;0.00;45.13;5.62;0.08;44.21;166.03;1740.84;1.19;195.91;1.37;6.53;0.90;96.00;85.00;1036.90;1034.10;100.00;0.00;21.00;0.00;2.00;0.00;100.00;0.00;1.84;0.32;2.50;0.20
2012;01;12;00;00;2.47;76.92;1031.62;0.00;0.00;29.73;2.67;0.00;29.17;529.43;1995.38;1.84;180.12;3.31;7.38;-0.01;96.00;62.00;1035.60;1028.50;100.00;0.00;19.00;0.00;0.00;0.00;100.00;0.00;4.30;0.32;11.50;0.10
2012;01;13;00;00;3.50;81.75;1029.40;1.90;0.00;66.67;2.42;8.29;65.79;215.11;1652.73;3.55;270.47;6.97;5.62;0.47;96.00;66.00;1030.80;1028.10;100.00;0.00;11.00;0.00;69.00;0.00;100.00;0.00;4.83;1.21;12.20;1.80
