"","Date2","ATTD","CAP","Pr"
"140","2016,Jan,2","18624","18624","100%"
"141","2016,Jan,6","18624","18624","100%"
"142","2016,Jan,13","18624","18624","100%"
"143","2016,Jan,15","18624","18624","100%"
"144","2016,Jan,22","18624","18624","100%"
"145","2016,Jan,27","18108","18624","97.229%"
"146","2016,Jan,29","17729","18624","95.194%"
"147","2016,Feb,3","17297","18624","92.875%"
"148","2016,Feb,7","18624","18624","100%"
"149","2016,Feb,10","18186","18624","97.648%"
"150","2016,Feb,25","18157","18624","97.492%"
"151","2016,Feb,27","18624","18624","100%"
"152","2016,Feb,29","17680","18624","94.931%"
"153","2016,Mar,2","18624","18624","100%"
"154","2016,Mar,4","18624","18624","100%"
"155","2016,Mar,9","17790","18624","95.522%"
"156","2016,Mar,11","18624","18624","100%"
"157","2016,Mar,16","18624","18624","100%"
"158","2016,Mar,21","18624","18624","100%"
"159","2016,Mar,23","18624","18624","100%"
"160","2016,Apr,6","18624","18624","100%"
"161","2016,Apr,8","18624","18624","100%"
"162","2016,Apr,11","18624","18624","100%"
"163","2016,Apr,13","18624","18624","100%"
"164","2017,26,de","18624","18624","100%"
"165","2017,2,de","18624","18624","100%"
"166","2017,6,de","17452","18624","93.707%"
"167","2017,11,de","18624","18624","100%"
"168","2017,16,de","18624","18624","100%"
"169","2017,18,de","18624","18624","100%"
"170","2017,25,de","18624","18624","100%"
"171","2017,30,de","17338","18624","93.095%"
"172","2017,2,de","18624","18624","100%"
"173","2017,9,de","18624","18624","100%"
"174","2017,16,de","18624","18624","100%"
"175","2017,23,de","18624","18624","100%"
"176","2017,27,de","18624","18624","100%"
"177","2017,30,de","18624","18624","100%"
"178","2017,3,de","18624","18624","100%"
"179","2017,6,de","18624","18624","100%"
"180","2017,7,de","18624","18624","100%"
"181","2017,11,de","18624","18624","100%"
"182","2017,16,de","18624","18624","100%"
"183","2017,18,de","18624","18624","100%"
"184","2017,21,de","18624","18624","100%"
"185","2017,25,de","18624","18624","100%"
"186","2017,27,de","18624","18624","100%"
"187","2017,30,de","18188","18624","97.659%"
"188","2017,1,de","18624","18624","100%"
"189","2017,3,de","18624","18624","100%"
"190","2017,5,de","18624","18624","100%"
"191","2017,15,de","18624","18624","100%"
"192","2017,27,de","18624","18624","100%"
"193","2017,1,de","18624","18624","100%"
"194","2017,12,de","18624","18624","100%"
"195","2017,15,de","18624","18624","100%"
"196","2017,20,de","18624","18624","100%"
"197","2017,22,de","18624","18624","100%"
"198","2017,24,de","18624","18624","100%"
"199","2017,26,de","18624","18624","100%"
"200","2017,29,de","18624","18624","100%"
"201","2017,31,de","18624","18624","100%"
"202","2017,5,de","18624","18624","100%"
"203","2017,10,de","18624","18624","100%"
"204","2017,12,de","18624","18624","100%"
"205","2017,Oct,18","18624","18624","100%"
"206","2017,Oct,24","18624","18624","100%"
"207","2017,Oct,30","18624","18624","100%"
"208","2017,Nov,1","18624","18624","100%"
"209","2017,Nov,8","18624","18624","100%"
"210","2017,Nov,10","18624","18624","100%"
"211","2017,Nov,12","18624","18624","100%"
